time,open,high,low,close,volume
2026-08-15T10:00:00Z,63030.39000000,63051.74000000,63002.12000000,63046.10000000,79.58
2026-08-15T11:00:00Z,63046.10000000,63054.69000000,62996.85000000,63022.01000000,175.71
2026-08-15T12:00:00Z,63022.01000000,63055.36000000,62946.58000000,63050.13000000,109.73
2026-08-15T13:00:00Z,63050.12000000,63080.88000000,63028.11000000,63060.35000000,132.30
2026-08-15T14:00:00Z,63060.34000000,63060.35000000,62996.77000000,63040.00000000,244.04
2026-08-15T15:00:00Z,63040.01000000,63120.09000000,63032.00000000,63100.55000000,214.38
2026-08-15T16:00:00Z,63100.55000000,63124.99000000,63066.73000000,63096.63000000,202.84
2026-08-15T17:00:00Z,63096.62000000,63100.69000000,63066.21000000,63070.50000000,96.56
2026-08-15T18:00:00Z,63070.49000000,63115.58000000,63044.37000000,63057.58000000,294.79
2026-08-15T19:00:00Z,63057.58000000,63090.98000000,63057.57000000,63086.60000000,243.81
